"","shape","rate","iteration","ranmom_biopsied","randad_biopsied","ranparent_ratio","mean_ranmom_age","mean_randad_age","mean_ranmom_age_sampled","mean_randad_age_sampled","pgamma","realmom_biopsied","realdad_biopsied","realparent_ratio","mean_realmom_age","mean_realdad_age","mean_realmom_age_sampled","mean_realdad_age_sampled","parent_ratio_diff","mean_age_diff"
"1",5.2,0.19,10.5,106.7,96.65,1.11280768537285,16.7252240608769,19.7463429560736,16.3795782443266,18.9435001792408,0.950072208143926,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.93004945748429,4.33644506374349
"2",5.3,0.19,10.5,104.05,96.65,1.08601390194259,16.707867697387,19.8506421870596,16.5285798903635,19.3440689977885,0.950361394089636,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.956843240914556,3.93587624519572
"3",5.4,0.19,10.5,100.9,93.25,1.09184362760459,16.7301219954101,20.0282646857511,16.5778354300953,19.2969581275737,0.950166500869388,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.951013515252555,3.9829871154106
"4",5.1,0.2,10.5,106.15,95.7,1.11463368407448,16.7076462535733,19.3601199822845,16.4597480382312,18.6167619641531,0.950977196268213,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.928223458782665,4.66318327883113
"5",5.2,0.2,10.5,102.35,99.95,1.02777349156322,16.715276402142,19.3011591577083,16.6084898321816,18.7482898558845,0.952927431264367,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,1.01508365129392,4.53165538709977
"6",5.3,0.2,10.5,102.95,93.75,1.1027177426624,16.7090256472199,19.4965189032492,16.4098208042248,19.0375986907602,0.954367693750801,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.940139400194747,4.24234655222405
"7",5.4,0.2,10.5,101.95,94.05,1.08843347909943,16.6325083544712,19.6346346177075,16.4519540802678,19.1335216737333,0.955324083354389,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.954423663757717,4.14642356925092
"8",5.5,0.2,10.5,100.8,98.2,1.03711410552862,16.5792837299191,19.708132222088,16.3648053131557,19.1293310938675,0.95582057198892,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,1.00574303732852,4.15061414911673
"9",5.6,0.2,10.5,101.65,93.85,1.09010914361187,16.7439731046423,19.9582807907557,16.4926256504544,19.3924074696953,0.955879051331205,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.95274799924527,3.88753777328893
"10",5.7,0.2,10.5,106.2,94.8,1.12367951294288,16.6519088456738,20.1279425856585,16.5073716503708,19.2767153282035,0.955519400749098,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.919177629914259,4.00322991478077
"11",5.8,0.2,10.5,103.85,94.5,1.10689315054293,16.7200064420019,20.3879216491525,16.421330367077,19.6769523702404,0.954759572031236,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.935963992314212,3.60299287274382
"12",5.9,0.2,10.5,102.75,87.8,1.17660872628348,16.6709711317792,20.4805439465314,16.4381600356721,19.8051802297275,0.953615687578583,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.866248416573663,3.4747650132568
"13",6,0.2,10.5,101.9,90.3,1.13576351689479,16.564514635423,20.6914526714176,16.2859698116869,19.8077373669007,0.952102149031913,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.907093625962354,3.47220787608356
"14",6.1,0.2,10.5,105.85,88.9,1.19629225976839,16.6369722591295,20.981492128679,16.3920279374991,20.1233997600401,0.950231753620328,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.846564883088753,3.1565454829442
"15",5.2,0.21,10.5,103,100.65,1.03039385972623,16.729377541571,19.1104956315175,16.5854859318143,18.5565127136137,0.952853404760837,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,1.01246328313091,4.72343252937053
"16",5.3,0.21,10.5,100.8,97.25,1.0503013611125,16.7011893545919,19.1545722108145,16.4272913959136,18.616969551338,0.955318031004321,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.992555781744638,4.66297569164621
"17",5.4,0.21,10.5,100.65,95.45,1.0679221256998,16.6064399887265,19.3063973104642,16.3465965542185,18.5566726899907,0.957293649927053,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.974935017157338,4.72327255299356
"18",5.5,0.21,10.5,101.85,93.85,1.09235439286617,16.6829097717116,19.4409856262834,16.4849155904568,18.9112599648966,0.958806316655342,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.950502749990974,4.36868527808764
"19",5.6,0.21,10.5,102.1,96.45,1.06850408699061,16.6568877078552,19.7144647099086,16.514959603306,18.9132317018816,0.959880069779748,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.974353055866534,4.3667135411027
"20",5.7,0.21,10.5,104,91.85,1.1476184331891,16.6587675645207,19.8810858799372,16.3825822640695,19.1181960419063,0.960536955802993,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.895238709668039,4.16174920107794
"21",5.8,0.21,10.5,101.8,91.85,1.11529707020266,16.6736642911785,19.9517284696219,16.452967969879,19.3258591241014,0.960797074317302,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.927560072654485,3.95408611888288
"22",5.9,0.21,10.5,102.8,97,1.06674633306317,16.7115420541933,20.189206828522,16.449532248655,19.5351202864042,0.960678640585503,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.976110809793968,3.74482495658007
"23",6,0.21,10.5,105.35,92.1,1.15748671674409,16.764615694327,20.4289725007046,16.655003845889,19.7954791089031,0.960198062454335,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.885370426113057,3.48446613408116
"24",6.1,0.21,10.5,102,89.4,1.14500944504927,16.7403627652293,20.5996251560172,16.5721494928267,20.0268922577191,0.959370028790881,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.897847697807869,3.25305298526519
"25",6.2,0.21,10.5,98.45,92.85,1.06452379518485,16.6301409187905,20.7512066674719,16.4090786075417,20.1740723940411,0.958207606897687,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.978333347672294,3.1058728489432
"26",6.3,0.21,10.5,106.65,90.15,1.19516656184681,16.6800587832669,20.7167604783186,16.3706040436607,20.0559686958422,0.95672234662321,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.847690581010329,3.22397654714207
"27",6.4,0.21,10.5,106.45,91.55,1.17524355901419,16.6664738092362,21.0993143294279,16.6040995856364,20.5413612319307,0.954924389137752,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.86761358384295,2.73858401105353
"28",6.5,0.21,10.5,103.9,87.6,1.19766342751016,16.7015843298305,21.3103752466079,16.472601483723,20.519154218668,0.952822578587448,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.845193715346978,2.76079102431621
"29",6.6,0.21,10.5,102.85,89.7,1.15083522241909,16.6420860007247,21.4560953416274,16.5635930261232,20.8232268634762,0.950424575067765,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.892021920438048,2.45671837950801
"30",5.2,0.22,10.5,101.75,96.85,1.05876455403915,16.6447123243548,18.7883983572895,16.4889090079437,18.233145258548,0.950449019627587,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.984092588817996,5.04679998443626
"31",5.3,0.22,10.5,104.4,99.95,1.05491637614331,16.7470994886661,18.8993859966985,16.5545555114664,18.2050045170222,0.95384133954081,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.987940766713836,5.07494072596206
"32",5.4,0.22,10.5,103.3,96.4,1.08205084018204,16.6313612755164,19.1180593469421,16.3884367213619,18.4300204210576,0.95673458851155,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.960806302675102,4.84992482192662
"33",5.5,0.22,10.5,103.25,98.3,1.05687788901165,16.5522075935097,19.1524455449531,16.3955555623027,18.6273498267425,0.959156657312158,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.985979253845489,4.65259541624176
"34",5.6,0.22,10.5,104.75,94.8,1.1107784584002,16.601742561501,19.3498554575834,16.3483816859071,18.8929891053386,0.961133563447621,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.932078684456941,4.38695613764564
"35",5.7,0.22,10.5,103.35,96.6,1.07427472154463,16.6423376414221,19.5411740548375,16.5245163713469,18.806242974532,0.962689432012863,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.968582421312509,4.47370226845224
"36",5.8,0.22,10.5,102.05,96.15,1.06663703252662,16.7012658533639,19.6943004388614,16.269523694825,19.0641973113099,0.963846500398229,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.976220110330523,4.2157479316744
"37",5.9,0.22,10.5,103.1,92.5,1.12135917958297,16.6984808954383,19.8996609896525,16.5187002241867,19.3347586195567,0.964625143634127,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.92149796327417,3.94518662342756
"38",6,0.22,10.5,101.15,94.3,1.0819080834857,16.6661122518823,19.9845347666787,16.4388337332158,19.1611646670121,0.965043917352975,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.960949059371444,4.11878057597218
"39",6.1,0.22,10.5,103.3,89.65,1.16098676707758,16.6338233280992,20.2408072633571,16.4142451379351,19.654608347785,0.965119615552882,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.88187037577956,3.62533689519924
"40",6.2,0.22,10.5,101.5,91.45,1.11742716043302,16.7010279019205,20.2380637758183,16.4506128476115,19.4168361686771,0.964867340565929,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.925429982424119,3.86310907430717
"41",6.3,0.22,10.5,104.55,93.95,1.12578083028161,16.6412702822402,20.4377102709667,16.4298065440487,19.8525336957729,0.964300582858134,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.917076312575532,3.42741154721137
